imdb_title_id,title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0119173,G.I. Jane,1997,03/10/1997,"Action, Drama, War",125,"USA, UK",English,Ridley Scott,"Danielle Alexandra, David Twohy",Caravan Pictures,"Demi Moore, Viggo Mortensen, Anne Bancroft, Jason Beghe, Daniel von Bargen, John Michael Higgins, Kevin Gage, David Warshofsky, David Vadim, Morris Chestnut, Josh Hopkins, Jim Caviezel, Boyd Kestner, Angel David, Stephen Ramsey",A female Senator succeeds in enrolling a woman into Combined Reconnaissance Team training where everyone expects her to fail.,5.9,72116,$ 50000000,$ 48169156,$ 48169156,62,151,87
tt0119201,Girls' Night,1998,14/07/2000,"Comedy, Drama, Romance",102,UK,English,Nick Hurran,Kay Mellor,Granada Film Productions,"Brenda Blethyn, Julie Walters, Sue Cleaver, Meera Syal, Margo Stanley, Maggie Tagney, Fine Time Fontayne, Philip Jackson, George Costigan, Anthony Lewis, Maxine Peake, James Gaddas, Penelope Woodman, Nicholas Lane, Bill Rodgers","Two British best friends and in-laws, Dawn (Brenda Blethyn) and Jackie (Dame Julie Walters), work together at a factory. When Dawn is diagnosed with a brain tumor, Jackie shares one hundred...",6.5,623,NA,NA,NA,NA,11,12
tt0119209,Going All the Way,1997,01/09/2000,"Comedy, Drama",103,USA,English,Mark Pellington,"Dan Wakefield, Dan Wakefield",Lakeshore Entertainment,"Jeremy Davies, Ben Affleck, Amy Locane, Rose McGowan, Rachel Weisz, John Lordan, Robert Swan, Jill Clayburgh, Lesley Ann Warren, Richard Gaeckle, Teri Beitel, Everett Greene, Jerry Panatieri, Jeff Buelterman, Nick Offerman","After returning home from the Korean War, two young men search for love and fulfillment in middle America.",5.6,1806,NA,$ 113069,$ 113069,NA,19,26
tt0119214,Gone Fishin',1997,30/05/1997,"Comedy, Crime",94,USA,English,Christopher Cain,"Jill Mazursky, J.J. Abrams",Caravan Pictures,"Joe Pesci, Danny Glover, Rosanna Arquette, Lynn Whitfield, Willie Nelson, Nick Brimble, Gary Grubbs, Carol Kane, Edythe Davis, Jenna Bari, Samantha Brown, Jeff DiLucca, Jamil Akim O'Quinn, Frankie Nasso, Raynor Scheine",Two fishing fanatics get in trouble when their car is stolen during a fishing trip.,4.9,9330,$ 53000000,$ 19745922,$ 19745922,NA,76,16
tt0119217,Good Will Hunting,1997,06/03/1998,"Drama, Romance",126,USA,English,Gus Van Sant,"Matt Damon, Ben Affleck",Be Gentlemen Limited Partnership,"Matt Damon, Ben Affleck, Stellan Skarsgård, John Mighton, Rachel Majorowski, Colleen McCauley, Casey Affleck, Cole Hauser, Matt Mercier, Ralph St. George, Rob Lynds, Dan Washington, Alison Folland, Derrick Bridgeman, Vik Sahay","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",8.3,837379,$ 10000000,$ 138433435,$ 225933435,70,899,164
tt0119225,Gridlock'd,1997,29/01/1997,"Comedy, Crime, Drama",91,USA,English,Vondie Curtis-Hall,Vondie Curtis-Hall,Def Pictures,"Tim Roth, Tupac Shakur, Thandie Newton, Charles Fleischer, Howard Hesseman, James Pickens Jr., John Sayles, Eric Payne, Tom Towles, Tom Wright, James Shanta, Jim O'Malley, George Poulos, Debbie Zaricor, Mik Scriba","Two friends try to kick their drug addiction after a friend dies from an overdose, when they try to enroll in a detox program, things quickly go wrong.",6.9,14440,NA,$ 5571205,$ 5571205,NA,40,26
tt0119247,1 chance sur 2,1998,25/03/1998,"Action, Adventure, Comedy",104,France,"French, Russian",Patrice Leconte,"Patrick Dewolf, Serge Frydman",Les Films Christian Fechner,"Jean-Paul Belmondo, Alain Delon, Vanessa Paradis, Eric Defosse, Aleksandr Yakovlev, Valeri Gatayev, Michel Aumont, Jacques Roman, Philippe Magnan, Olivier Parenty, Mbembo, Guillaume Rannou, Arnaud Churin, Luis Jaime Cortez, Vladislas Duport","Two legends of the past have equal chances of becoming the father of a young beautiful girl. But before they find out which one exactly, they are forced to join efforts for saving her from the Mob.",5.8,2348,$ 32000000,NA,NA,NA,14,4
tt0119250,Hana-bi,1997,30/10/1997,"Crime, Drama, Romance",103,Japan,Japanese,Takeshi Kitano,Takeshi Kitano,Bandai Visual Company,"Takeshi Kitano, Kayoko Kishimoto, Ren Osugi, Susumu Terajima, Tetsu Watanabe, Hakuryû, Yasuei Yakushiji, Tarô Itsumi, Ken'ichi Yajima, Makoto Ashikawa, Yûko Daike, Tsumami Edamame, Yûrei Yanagi, Sujitarô Tamabukuro, Tokio Seki","Nishi leaves the police in the face of harrowing personal and professional difficulties. Spiraling into depression, he makes questionable decisions.",7.8,26963,NA,$ 500000,$ 500000,NA,134,79
tt0119256,Sydney,1996,21/06/1997,"Crime, Drama",102,USA,English,Paul Thomas Anderson,Paul Thomas Anderson,Green Parrot,"Philip Baker Hall, John C. Reilly, Gwyneth Paltrow, Samuel L. Jackson, F. William Parker, Philip Seymour Hoffman, Nathanael Cooper, Wynn White, Robert Ridgely, Kathleen Campbell, Michael J. Rowe, Peter D'Allesandro, Steve Blane, Xaleese, Melora Walters",Professional gambler Sydney teaches John the tricks of the trade. John does well until he falls for cocktail waitress Clementine.,7.2,40454,$ 3000000,$ 222559,$ 222559,78,167,75
tt0119273,Heavy Metal 2000,2000,04/05/2000,"Animation, Action, Adventure",88,"Canada, Germany",English,"Michael Coldewey, Michel Lemire","Simon Bisley, R. Payne Cabeen",CinéGroupe,"Michael Ironside, Julie Strain, Billy Idol, Pier Paquette, Sonja Ball, Brady Moffatt, Rick Jones, Arthur Holden, Alan Fawcett, Jane Woods, Elizabeth Robertson, Luis de Cespedes, Terrence Scammell, Vlasta Vrana","After surviving an invasion on her peaceful homeworld, a beautiful avenger must stop a powerful psychopath from gaining immortality and rescue her kidnapped sister.",5.4,7569,$ 15000000,NA,NA,NA,86,38
